AREACD,AREANM,Time1,Time2,Time3,Time4,Time5
E06000001,Hartlepool,88.75775116,98.20878358,99.78395565,95.5834968,91.38303794
E06000002,Middlesbrough,101.3591277,102.9342998,95.5834968,97.68372622,87.70763645
E06000003,Redcar and Cleveland,99.25889829,96.10855415,106.6097013,106.0846439,101.8841851
E06000004,Stockton-on-Tees,99.25889829,102.9342998,104.5094719,106.6097013,96.63361151
E06000005,Darlington,104.5094719,100.8340704,103.4593571,105.5595866,106.6097013
E06000006,Halton,93.48326737,90.33292323,97.15866887,100.8340704,101.8841851
E06000007,Warrington,101.3591277,107.659816,109.2349881,111.3352175,103.9844145
E06000008,Blackburn with Darwen,97.68372622,99.78395565,110.2851028,110.2851028,112.3853322
E06000009,Blackpool,94.53338208,93.48326737,90.85798059,98.20878358,93.48326737
E06000010,"Kingston upon Hull, City of",88.2326938,89.80786587,106.0846439,93.48326737,82.45706288
E06000011,East Riding of Yorkshire,110.8101601,113.4354469,109.7600454,109.2349881,116.0607337
E06000012,North East Lincolnshire,101.3591277,101.8841851,100.8340704,102.4092424,106.6097013
E06000013,North Lincolnshire,96.63361151,103.4593571,104.5094719,96.63361151,100.8340704
E06000014,York,104.5094719,105.5595866,96.63361151,94.00832473,102.9342998
E06000015,Derby,94.53338208,97.15866887,96.10855415,105.5595866,103.4593571
E06000016,Leicester,94.00832473,104.5094719,89.28280852,108.1848734,103.9844145
E06000017,Rutland,105.0345292,110.8101601,110.8101601,115.5356764,108.1848734
E06000018,Nottingham,94.00832473,85.60740702,86.13246438,94.00832473,79.30671874
E06000019,"Herefordshire, County of",105.0345292,107.1347586,113.4354469,111.3352175,102.9342998
E06000020,Telford and Wrekin,94.53338208,106.6097013,107.659816,97.15866887,89.28280852
E06000021,Stoke-on-Trent,90.33292323,103.4593571,94.00832473,97.15866887,96.63361151
E06000022,Bath and North East Somerset,105.0345292,99.78395565,98.73384094,103.4593571,91.9080953
E06000023,"Bristol, City of",84.03223495,89.28280852,90.33292323,89.28280852,89.28280852
E06000024,North Somerset,103.4593571,105.0345292,97.68372622,112.3853322,103.4593571
E06000025,South Gloucestershire,106.6097013,98.20878358,103.4593571,101.8841851,103.4593571
E06000026,Plymouth,101.3591277,98.73384094,104.5094719,101.8841851,106.0846439
E06000027,Torbay,103.4593571,103.9844145,99.25889829,106.6097013,104.5094719
E06000030,Swindon,98.73384094,96.63361151,105.5595866,101.8841851,103.4593571
E06000031,Peterborough,99.78395565,107.1347586,99.78395565,106.0846439,102.9342998
E06000032,Luton,100.8340704,102.4092424,105.0345292,109.7600454,108.1848734
E06000033,Southend-on-Sea,104.5094719,97.15866887,103.4593571,106.6097013,101.8841851
E06000034,Thurrock,96.10855415,103.9844145,102.9342998,96.10855415,95.05843944
E06000035,Medway,95.5834968,92.95821001,98.73384094,98.73384094,105.5595866
E06000036,Bracknell Forest,99.78395565,105.0345292,103.9844145,109.2349881,101.8841851
