AREACD,AREANM,Time1,Time2,Time3,Time4,Time5
E06000001,Hartlepool,93.6614596,91.84559984,98.50375231,100.3196121,97.89846572
E06000002,Middlesbrough,103.346045,91.84559984,100.3196121,105.1619048,95.47731937
E06000003,Redcar and Cleveland,95.47731937,95.47731937,104.5566182,100.9248987,100.3196121
E06000004,Stockton-on-Tees,102.1354718,102.1354718,108.7936243,99.1090389,100.3196121
E06000005,Darlington,104.5566182,96.08260596,102.1354718,105.7671914,104.5566182
E06000006,Halton,99.71432549,97.89846572,99.1090389,102.1354718,95.47731937
E06000007,Warrington,99.1090389,107.5830511,109.3989109,105.7671914,105.7671914
E06000008,Blackburn with Darwen,100.3196121,96.68789254,103.346045,106.9777645,110.6094841
E06000009,Blackpool,94.26674619,85.18744736,93.6614596,97.89846572,93.05617301
E06000010,"Kingston upon Hull, City of",88.81916689,96.68789254,97.89846572,101.5301853,99.71432549
E06000011,East Riding of Yorkshire,110.0041975,118.4782097,106.372478,117.2676366,113.0306304
E06000012,North East Lincolnshire,103.9513316,103.9513316,110.6094841,106.9777645,110.0041975
E06000013,North Lincolnshire,99.1090389,105.7671914,103.346045,98.50375231,104.5566182
E06000014,York,97.89846572,100.3196121,94.26674619,94.87203278,105.1619048
E06000015,Derby,88.81916689,103.9513316,103.346045,113.0306304,105.1619048
E06000016,Leicester,89.42445348,90.63502666,82.76630101,100.3196121,101.5301853
E06000017,Rutland,106.9777645,113.635917,111.8200573,108.7936243,112.4253438
E06000018,Nottingham,85.79273395,85.79273395,88.21388031,83.97687419,86.39802054
E06000019,"Herefordshire, County of",103.346045,105.7671914,112.4253438,110.6094841,109.3989109
E06000020,Telford and Wrekin,102.1354718,100.9248987,99.1090389,108.7936243,95.47731937
E06000021,Stoke-on-Trent,87.60859372,101.5301853,94.87203278,93.05617301,98.50375231
E06000022,Bath and North East Somerset,96.68789254,99.1090389,95.47731937,103.346045,93.05617301
E06000023,"Bristol, City of",85.18744736,88.81916689,84.58216077,88.21388031,89.42445348
E06000024,North Somerset,96.08260596,97.89846572,96.68789254,110.0041975,110.6094841
E06000025,South Gloucestershire,106.372478,97.29317913,100.9248987,103.9513316,99.1090389
E06000026,Plymouth,97.29317913,105.1619048,108.7936243,96.08260596,95.47731937
E06000027,Torbay,108.1883377,110.6094841,103.346045,113.0306304,108.7936243
E06000030,Swindon,101.5301853,97.89846572,99.71432549,103.346045,103.9513316
E06000031,Peterborough,97.89846572,94.87203278,97.89846572,100.3196121,98.50375231
E06000032,Luton,99.1090389,100.9248987,100.9248987,107.5830511,108.7936243
E06000033,Southend-on-Sea,96.08260596,98.50375231,105.1619048,102.7407584,107.5830511
E06000034,Thurrock,102.1354718,102.7407584,101.5301853,99.1090389,104.5566182
E06000035,Medway,91.84559984,97.29317913,100.3196121,99.1090389,101.5301853
E06000036,Bracknell Forest,102.7407584,106.372478,105.1619048,106.9777645,95.47731937
E06000037,West Berkshire,108.1883377,110.6094841,111.8200573,111.2147707,106.9777645
E06000038,Reading,94.87203278,101.5301853,102.1354718,91.84559984,103.9513316
E06000039,Slough,87.60859372,100.3196121,97.89846572,93.6614596,100.3196121
E06000040,Windsor and Maidenhead,108.1883377,102.7407584,103.9513316,102.1354718,103.9513316
E06000041,Wokingham,100.9248987,108.7936243,114.8464902,111.2147707,111.2147707
E06000042,Milton Keynes,94.26674619,101.5301853,106.9777645,100.3196121,97.29317913
E06000043,Brighton and Hove,85.18744736,94.87203278,99.71432549,83.97687419,94.26674619
E06000044,Portsmouth,102.7407584,99.1090389,103.346045,96.68789254,99.1090389
E06000045,Southampton,93.05617301,91.84559984,92.45088642,92.45088642,85.79273395
E06000046,Isle of Wight,105.7671914,109.3989109,108.7936243,111.8200573,103.9513316
E06000047,County Durham,97.89846572,102.7407584,110.6094841,114.2412036,99.71432549
E06000049,Cheshire East,116.0570634,102.1354718,114.8464902,107.5830511,102.7407584
E06000050,Cheshire West and Chester,97.89846572,105.1619048,114.2412036,102.1354718,94.26674619
E06000051,Shropshire,110.6094841,111.8200573,108.1883377,105.7671914,117.2676366
E06000052,Cornwall,109.6159359,104.7488931,112.5447392,108.8851786,110.0696275
E06000054,Wiltshire,107.5830511,111.2147707,108.1883377,105.7671914,105.1619048
E06000055,Bedford,97.29317913,102.1354718,103.9513316,97.89846572,100.3196121
E06000056,Central Bedfordshire,101.5301853,104.5566182,101.5301853,111.2147707,106.372478
E06000057,Northumberland,97.89846572,90.02974007,99.71432549,103.346045,99.71432549
