AREACD,AREANM,Time1,Time2,Time3,Time4,Time5
E06000001,Hartlepool,102.8948095,102.8948095,107.0388335,104.9668215,111.1828574
E06000002,Middlesbrough,82.17469,86.31871391,94.60676173,94.60676173,94.60676173
E06000003,Redcar and Cleveland,98.75078564,102.8948095,104.9668215,109.1108454,109.1108454
E06000004,Stockton-on-Tees,84.24670195,96.67877368,104.9668215,107.0388335,115.3268813
E06000005,Darlington,98.75078564,104.9668215,111.1828574,111.1828574,111.1828574
E06000006,Halton,78.03066609,90.46273782,90.46273782,96.67877368,98.75078564
E06000007,Warrington,100.8227976,109.1108454,109.1108454,113.2548693,115.3268813
E06000008,Blackburn with Darwen,80.10267804,92.53474977,98.75078564,100.8227976,104.9668215
E06000009,Blackpool,88.39072586,94.60676173,98.75078564,102.8948095,100.8227976
E06000010,"Kingston upon Hull, City of",86.31871391,96.67877368,96.67877368,98.75078564,102.8948095
E06000011,East Riding of Yorkshire,104.9668215,104.9668215,109.1108454,115.3268813,113.2548693
E06000012,North East Lincolnshire,100.8227976,107.0388335,109.1108454,107.0388335,109.1108454
E06000013,North Lincolnshire,107.0388335,115.3268813,113.2548693,109.1108454,111.1828574
E06000014,York,107.0388335,115.3268813,115.3268813,117.3988932,119.4709052
E06000015,Derby,88.39072586,100.8227976,102.8948095,104.9668215,107.0388335
E06000016,Leicester,72.8506362,88.39072586,94.60676173,98.75078564,102.8948095
E06000017,Rutland,115.3268813,111.1828574,113.2548693,115.3268813,123.6149291
E06000018,Nottingham,82.17469,92.53474977,98.75078564,100.8227976,100.8227976
E06000019,"Herefordshire, County of",96.67877368,111.1828574,117.3988932,115.3268813,117.3988932
E06000020,Telford and Wrekin,100.8227976,104.9668215,107.0388335,109.1108454,109.1108454
E06000021,Stoke-on-Trent,92.53474977,98.75078564,98.75078564,100.8227976,102.8948095
E06000022,Bath and North East Somerset,107.0388335,104.9668215,111.1828574,111.1828574,115.3268813
E06000023,"Bristol, City of",94.60676173,100.8227976,102.8948095,104.9668215,109.1108454
E06000024,North Somerset,113.2548693,115.3268813,117.3988932,119.4709052,117.3988932
E06000025,South Gloucestershire,119.4709052,119.4709052,121.5429171,121.5429171,119.4709052
E06000026,Plymouth,92.53474977,94.60676173,98.75078564,102.8948095,104.9668215
E06000027,Torbay,96.67877368,109.1108454,111.1828574,109.1108454,109.1108454
E06000030,Swindon,100.8227976,104.9668215,107.0388335,109.1108454,109.1108454
E06000031,Peterborough,88.39072586,92.53474977,92.53474977,100.8227976,100.8227976
E06000032,Luton,86.31871391,96.67877368,102.8948095,104.9668215,102.8948095
E06000033,Southend-on-Sea,104.9668215,109.1108454,115.3268813,115.3268813,115.3268813
E06000034,Thurrock,111.1828574,117.3988932,117.3988932,117.3988932,115.3268813
E06000035,Medway,109.1108454,115.3268813,115.3268813,113.2548693,115.3268813
E06000036,Bracknell Forest,113.2548693,113.2548693,113.2548693,117.3988932,119.4709052
E06000037,West Berkshire,109.1108454,117.3988932,119.4709052,115.3268813,117.3988932
E06000038,Reading,102.8948095,109.1108454,109.1108454,111.1828574,107.0388335
E06000039,Slough,96.67877368,102.8948095,109.1108454,113.2548693,115.3268813
E06000040,Windsor and Maidenhead,115.3268813,117.3988932,121.5429171,117.3988932,117.3988932
E06000041,Wokingham,107.0388335,119.4709052,121.5429171,117.3988932,121.5429171
E06000042,Milton Keynes,100.8227976,109.1108454,113.2548693,113.2548693,113.2548693
E06000043,Brighton and Hove,96.67877368,98.75078564,107.0388335,111.1828574,111.1828574
E06000044,Portsmouth,104.9668215,107.0388335,109.1108454,107.0388335,104.9668215
E06000045,Southampton,98.75078564,107.0388335,107.0388335,109.1108454,109.1108454
E06000046,Isle of Wight,111.1828574,111.1828574,109.1108454,113.2548693,109.1108454
E06000047,County Durham,94.60676173,104.9668215,111.1828574,113.2548693,111.1828574
E06000049,Cheshire East,102.8948095,109.1108454,111.1828574,113.2548693,113.2548693
E06000050,Cheshire West and Chester,102.8948095,109.1108454,107.0388335,111.1828574,111.1828574
E06000051,Shropshire,102.8948095,104.9668215,109.1108454,107.0388335,113.2548693
E06000052,Cornwall,93.20295003,101.5363252,105.458779,105.7219551,107.6779807
E06000054,Wiltshire,98.75078564,109.1108454,109.1108454,111.1828574,111.1828574
E06000055,Bedford,88.39072586,94.60676173,100.8227976,104.9668215,104.9668215
E06000056,Central Bedfordshire,94.60676173,104.9668215,109.1108454,113.2548693,113.2548693
E06000057,Northumberland,94.60676173,113.2548693,117.3988932,115.3268813,117.3988932
E06000058,"Bournemouth, Christchurch and Poole",115.3268813,115.3268813,115.3268813,115.3268813,115.3268813
E06000059,Dorset,109.1108454,109.1108454,109.1108454,109.1108454,109.1108454
E06000060,Buckinghamshire,109.1108454,115.3268813,117.3988932,117.3988932,117.3988932
E06000061,North Northamptonshire,93.87986897,102.4689488,103.72757,106.961927,108.0412151
E06000062,West Northamptonshire,98.32758072,105.2438529,110.258886,112.3234287,112.4069839
E07000008,Cambridge,94.60676173,98.75078564,107.0388335,102.8948095,107.0388335
E07000009,East Cambridgeshire,98.75078564,109.1108454,111.1828574,117.3988932,111.1828574
E07000010,Fenland,86.31871391,96.67877368,94.60676173,100.8227976,102.8948095
E07000011,Huntingdonshire,98.75078564,109.1108454,109.1108454,109.1108454,109.1108454
E07000012,South Cambridgeshire,107.0388335,115.3268813,115.3268813,115.3268813,115.3268813
