AREACD,AREANM,Time1,Time2,Time3,Time4,Time5
E06000001,Hartlepool,92.02430818,89.78403662,89.38259198,82.47962849,80.22038058
E06000002,Middlesbrough,82.76325009,82.64298392,86.19276726,81.49693312,84.35766344
E06000003,Redcar and Cleveland,92.48585861,91.60854944,95.32843877,90.88777617,93.73268776
E06000004,Stockton-on-Tees,93.12273156,91.46428144,88.58932453,85.35346816,86.28024272
E06000005,Darlington,92.77387181,92.74643031,94.3600893,92.83191831,96.71904456
E06000006,Halton,83.51340036,85.21903477,86.49646322,84.520956,81.77210053
E06000007,Warrington,93.14448337,88.75643242,94.51570667,91.79159432,86.79032516
E06000008,Blackburn with Darwen,81.16164774,82.80048796,84.38940739,83.66541057,85.56491868
E06000009,Blackpool,74.11807203,76.46257297,76.12480959,77.29549649,76.30073665
E06000010,"Kingston upon Hull, City of",92.57507796,87.4559542,86.99663767,87.12890758,89.3824355
E06000011,East Riding of Yorkshire,109.1178874,106.7772513,106.6568266,104.4906311,103.7647298
E06000012,North East Lincolnshire,96.80861487,98.59493934,99.23924791,98.21081012,92.61174584
E06000013,North Lincolnshire,104.6641579,104.5437076,104.8346545,102.9915163,101.7951851
E06000014,York,95.55294726,95.36642229,95.73821773,89.47965349,91.42327909
E06000015,Derby,91.55215578,89.96717899,90.93703867,89.81520846,87.57992806
E06000016,Leicester,92.6239886,94.63916685,95.42682538,92.58166862,90.6556837
E06000017,Rutland,115.1898648,121.3038258,114.665269,116.9385384,108.8458096
E06000018,Nottingham,84.66152313,87.0588357,89.69593718,89.6408188,91.01182805
E06000019,"Herefordshire, County of",115.0333997,114.6093201,112.2908209,111.6418196,105.9643465
E06000020,Telford and Wrekin,103.663599,104.7490138,101.8172213,100.2921315,98.11918583
E06000021,Stoke-on-Trent,85.26024598,90.42233549,88.30411178,88.27133759,89.42057267
E06000022,Bath and North East Somerset,98.97026656,99.84538286,95.5092388,98.86282751,97.55909064
E06000023,"Bristol, City of",86.96401921,86.33979985,86.04930782,83.23287463,79.97629594
