AREACD,AREANM,Time1,Time2,Time3,Time4,Time5
E06000001,Hartlepool,78.97422846,82.07842935,76.12871099,85.95868045,68.88557559
E06000002,Middlesbrough,101.7383683,99.41021762,84.1478966,87.5107809,84.66526342
E06000003,Redcar and Cleveland,94.49523288,90.09761497,88.28683112,81.30237913,73.54187692
E06000004,Stockton-on-Tees,96.82338355,95.78864992,90.35629837,84.66526342,86.99341408
E06000005,Darlington,97.85811718,89.06288134,95.27128311,89.58024815,90.61498178
E06000006,Halton,95.52996651,85.18263023,85.69999705,88.02814771,86.47604727
E06000007,Warrington,99.15153421,101.2210015,99.15153421,104.5838858,96.30601673
E06000008,Blackburn with Darwen,92.42576563,88.80419793,92.68444904,94.49523288,89.83893156
E06000009,Blackpool,80.52632891,79.23291187,75.09397736,62.67717382,65.26400789
E06000010,"Kingston upon Hull, City of",83.8892132,89.06288134,93.20181585,79.75027869,77.16344462
E06000011,East Riding of Yorkshire,100.7036347,99.92758443,98.11680058,93.20181585,92.16708222
E06000012,North East Lincolnshire,100.7036347,97.34075036,89.58024815,79.75027869,79.75027869
E06000013,North Lincolnshire,103.2904687,93.20181585,92.68444904,74.31792714,76.38739439
E06000014,York,102.7731019,104.3252024,101.7383683,108.9815037,103.2904687
E06000015,Derby,103.2904687,91.391032,90.35629837,89.83893156,87.25209749
E06000016,Leicester,101.7383683,90.35629837,90.87366519,101.7383683,96.82338355
E06000017,Rutland,111.3096543,93.46049926,111.3096543,92.68444904,94.49523288
E06000018,Nottingham,92.16708222,91.391032,89.58024815,88.28683112,90.35629837
E06000019,"Herefordshire, County of",104.0665189,106.9120364,103.8078355,93.20181585,84.40658001
E06000020,Telford and Wrekin,93.97786607,94.23654948,93.71918266,88.02814771,95.27128311
E06000021,Stoke-on-Trent,90.09761497,84.92394683,89.83893156,76.90476121,79.75027869
E06000022,Bath and North East Somerset,99.92758443,100.1862678,103.5491521,91.13234859,95.0125997
E06000023,"Bristol, City of",93.46049926,92.16708222,92.68444904,95.52996651,81.56106253
E06000024,North Somerset,101.9970517,102.5144185,94.49523288,96.56470014,93.71918266
E06000025,South Gloucestershire,103.2904687,100.9623181,102.5144185,92.94313244,92.16708222
E06000026,Plymouth,88.28683112,85.95868045,88.28683112,87.7694643,79.23291187
E06000027,Torbay,87.25209749,86.21736386,83.8892132,75.61134417,77.93949484
E06000030,Swindon,95.52996651,103.5491521,99.92758443,92.94313244,96.30601673
E06000031,Peterborough,104.0665189,99.41021762,92.68444904,83.11316298,92.16708222
E06000032,Luton,99.15153421,94.49523288,99.66890102,105.6186194,95.27128311
E06000033,Southend-on-Sea,100.4449512,91.64971541,89.32156474,97.85811718,100.9623181
E06000034,Thurrock,90.09761497,96.56470014,96.56470014,100.4449512,95.27128311
E06000035,Medway,86.99341408,90.09761497,96.56470014,95.78864992,90.09761497
E06000036,Bracknell Forest,106.9120364,106.3946696,108.7228203,100.7036347,102.5144185
E06000037,West Berkshire,115.1899054,113.8964884,108.4641369,113.637805,103.0317853
E06000038,Reading,111.0509709,107.6880866,113.3791216,101.9970517,104.8425692
E06000039,Slough,106.653353,103.0317853,104.0665189,102.2557351,93.20181585
E06000040,Windsor and Maidenhead,120.8809404,120.3635736,115.1899054,103.8078355,107.6880866
E06000041,Wokingham,121.3983072,111.0509709,109.7575539,106.3946696,111.0509709
E06000042,Milton Keynes,106.1359862,105.8773028,109.4988705,100.7036347,101.9970517
E06000043,Brighton and Hove,84.1478966,91.391032,95.78864992,93.20181585,90.87366519
E06000044,Portsmouth,95.78864992,98.6341674,90.61498178,94.75391629,94.23654948
E06000045,Southampton,101.9970517,96.82338355,96.30601673,91.391032,97.08206695
E06000046,Isle of Wight,89.32156474,84.66526342,80.52632891,77.93949484,71.98977648
E06000047,County Durham,85.18263023,90.87366519,84.66526342,83.63052979,81.30237913
E06000049,Cheshire East,103.2904687,100.1862678,107.6880866,107.6880866,96.30601673
E06000050,Cheshire West and Chester,103.0317853,109.7575539,105.6186194,106.3946696,109.2401871
E06000051,Shropshire,102.7731019,101.2210015,96.82338355,98.37548399,103.0317853
E06000052,Cornwall,99.97661404,92.99106225,91.9661687,81.60352649,86.26090301
E06000054,Wiltshire,99.41021762,100.9623181,104.5838858,93.71918266,94.75391629
E06000055,Bedford,109.7575539,107.4294032,103.5491521,109.7575539,104.0665189
E06000056,Central Bedfordshire,102.5144185,103.5491521,97.34075036,107.6880866,101.4796849
E06000057,Northumberland,98.8928508,91.13234859,96.82338355,89.58024815,88.02814771
E06000058,"Bournemouth, Christchurch and Poole",100.1862678,100.4449512,105.359936,101.4796849,98.11680058
E06000059,Dorset,95.0125997,90.09761497,90.87366519,99.41021762,94.49523288
E06000060,Buckinghamshire,105.8773028,105.8773028,105.8773028,105.8773028,105.8773028
E06000061,North Northamptonshire,98.09255521,103.1629977,88.10703971,99.70355118,100.3267992
E06000062,West Northamptonshire,106.9534702,113.9471149,99.96280809,97.65580513,93.01589972
E07000008,Cambridge,102.2557351,111.0509709,107.94677,104.0665189,92.94313244
E07000009,East Cambridgeshire,104.0665189,109.4988705,97.08206695,104.5838858,98.8928508
E07000010,Fenland,74.05924373,81.30237913,90.61498178,68.88557559,47.67353622
E07000011,Huntingdonshire,99.15153421,101.9970517,111.3096543,98.11680058,100.9623181
E07000012,South Cambridgeshire,106.9120364,108.2054535,118.0354229,117.0006893,122.9504077
E07000026,Allerdale,88.80419793,104.3252024,99.92758443,93.71918266,92.68444904
E07000027,Barrow-in-Furness,77.93949484,67.85084196,77.68081143,85.69999705,75.61134417
E07000028,Carlisle,99.15153421,92.94313244,86.73473067,83.63052979,77.93949484
E07000029,Copeland,100.9623181,102.7731019,80.78501231,64.22927427,77.68081143
E07000030,Eden,115.7072723,93.46049926,114.1551718,105.359936,96.56470014
E07000031,South Lakeland,98.6341674,101.2210015,104.5838858,98.6341674,86.99341408
E07000032,Amber Valley,101.2210015,90.09761497,93.20181585,84.40658001,77.93949484
E07000033,Bolsover,63.06519893,75.61134417,87.7694643,87.7694643,85.18263023
E07000034,Chesterfield,91.391032,86.47604727,82.07842935,86.21736386,66.04005811
E07000035,Derbyshire Dales,100.1862678,116.4833225,111.0509709,97.08206695,80.00896209
E07000036,Erewash,93.46049926,100.9623181,81.81974594,78.19817824,94.23654948
E07000037,High Peak,108.7228203,97.59943377,103.2904687,78.71554506,77.68081143
E07000038,North East Derbyshire,100.4449512,104.0665189,86.21736386,87.25209749,104.0665189
E07000039,South Derbyshire,96.56470014,100.9623181,92.16708222,115.7072723,90.87366519
