AREACD,AREANM,time1,time2,time3,time4,time5
E06000001,Hartlepool,82.79934282,86.19836829,78.851811,91.32202242,78.74538349
E06000002,Middlesbrough,91.99190523,90.9750495,88.37319351,82.08015798,79.29354434
E06000003,Redcar and Cleveland,95.22671421,100.7719127,98.05703142,90.33802512,90.03519212
E06000004,Stockton-on-Tees,94.25350359,96.17603395,93.41070149,91.6559421,95.50196883
E06000005,Darlington,96.59418432,90.99461162,89.64159902,90.93386034,88.54493243
E06000006,Halton,93.67981922,80.28956764,87.34810906,89.7326382,89.6512261
E06000007,Warrington,93.5472158,93.68557138,98.08326947,97.72896588,94.26051922
E06000008,Blackburn with Darwen,96.49381666,88.77093698,94.32856135,93.63285544,86.30877588
E06000009,Blackpool,86.80996747,90.39667815,79.29762046,72.79717016,74.28760259
E06000010,"Kingston upon Hull, City of",79.5303209,83.78702533,83.33492766,81.30575912,84.7203743
E06000011,East Riding of Yorkshire,98.46280101,98.75040651,99.64529486,103.0339317,96.34871216
E06000012,North East Lincolnshire,94.51942308,93.82284889,94.25838419,86.7548234,84.64294556
E06000013,North Lincolnshire,93.11544574,94.85985874,98.3931423,82.46824434,88.68956691
E06000014,York,100.7835194,102.836201,103.5160868,109.2834636,104.7944565
E06000015,Derby,104.8242973,97.67675349,99.10548359,97.89010296,95.76477257
E06000016,Leicester,97.50337002,80.59572746,88.82222277,90.14534533,77.79450287
E06000017,Rutland,109.2548405,98.72148787,95.07781196,98.39197365,80.55166928
E06000018,Nottingham,93.45696208,95.54854023,97.12275156,93.74064089,95.27553939
E06000019,"Herefordshire, County of",104.3597297,106.4351304,106.0277967,98.3023847,91.36326829
E06000020,Telford and Wrekin,96.18001273,88.78951986,98.01831028,99.06798987,92.8572187
E06000021,Stoke-on-Trent,87.41491144,88.92141804,94.85096584,85.05751419,82.56347993
E06000022,Bath and North East Somerset,103.363174,107.2512344,103.0630329,103.9401174,100.827116
E06000023,"Bristol, City of",93.66399652,93.38229488,97.5321323,101.1360066,90.9961307
E06000024,North Somerset,105.3045518,102.7617166,96.65675264,95.87319613,99.24553769
E06000025,South Gloucestershire,107.9022912,104.4541319,101.9020151,100.2906406,98.00554801
E06000026,Plymouth,96.92362797,94.07537677,96.66624508,95.69297855,89.80854063
E06000027,Torbay,91.25095185,94.35213532,93.73404221,92.3416283,90.86696851
E06000030,Swindon,95.81509067,106.5596362,99.17241306,91.56349453,94.50837729
E06000031,Peterborough,102.9736381,97.19949799,93.98276373,87.20968588,95.767199
E06000032,Luton,106.6691843,103.5314114,103.0535005,112.6564194,104.1843324
E06000033,Southend-on-Sea,96.34714006,94.95894667,90.36128204,98.21741464,100.9744866
E06000034,Thurrock,93.65254249,89.25753376,91.50415495,98.55308268,92.21596539
E06000035,Medway,93.12101348,93.37622657,94.92786836,98.77278584,90.78834443
E06000036,Bracknell Forest,100.7240706,106.5298735,112.2636749,100.1530489,108.0651977
E06000037,West Berkshire,109.1900377,108.782531,106.5549112,108.9080547,108.2457105
E06000038,Reading,113.8911347,108.9436448,109.3414074,106.272972,107.4288067
E06000039,Slough,96.96491823,104.9183748,108.6625632,105.1522193,105.4813712
E06000040,Windsor and Maidenhead,113.6853455,111.3857453,112.2602645,104.5656857,109.943412
E06000041,Wokingham,111.1508557,113.1808221,104.8451618,111.8407441,111.7989903
E06000042,Milton Keynes,101.2791573,98.13669743,101.9040183,102.5598143,97.39583997
E06000043,Brighton and Hove,90.95517498,91.43402918,100.1528451,98.44410867,94.85992175
E06000044,Portsmouth,108.6797806,103.2952913,93.61789445,98.89857894,99.23348382
E06000045,Southampton,95.18910659,96.80876576,98.25809754,91.5005129,97.91582208
E06000046,Isle of Wight,99.25019185,94.35365835,91.6911218,93.36270859,89.09898746
E06000047,County Durham,88.30523295,93.29067064,86.48458871,90.84114561,89.60271286
E06000049,Cheshire East,100.9970765,100.9397956,104.5272008,105.6891507,96.19508321
E06000050,Cheshire West and Chester,100.7862922,107.5970761,102.0249259,107.8089195,106.3730485
E06000051,Shropshire,101.3502162,103.0459126,103.0125724,99.14849249,100.9853758
E06000052,Cornwall,97.7853013,98.34198579,95.61505546,90.15502064,94.05444705
E06000054,Wiltshire,101.7476949,101.8917749,103.8291877,98.95128568,102.0648069
E06000055,Bedford,104.9484371,109.9691775,102.9273392,106.6647797,105.9006344
