AREACD,AREANM,time1,time2,time3,time4,time5
E06000001,Hartlepool,105.2681139,105.5805581,106.0534877,106.9590724,107.5028855
E06000002,Middlesbrough,100.2871658,101.0535107,100.1192703,98.77751612,99.44846034
E06000003,Redcar and Cleveland,109.0317692,109.7139224,109.7298541,109.7357274,112.3248763
E06000004,Stockton-on-Tees,103.878638,103.5990703,104.4074682,104.0813044,103.7010006
E06000005,Darlington,107.1520445,105.6768126,106.5048174,106.379583,111.0015999
E06000006,Halton,104.5823533,101.6588623,102.9519437,102.5774675,101.3503094
E06000007,Warrington,104.5627758,103.253587,104.9711903,102.4560908,102.8381212
E06000008,Blackburn with Darwen,103.8722924,102.6049108,104.2079705,100.9222294,100.2069558
E06000009,Blackpool,96.03658743,99.00064951,100.0356405,99.69443672,99.5526861
E06000010,"Kingston upon Hull, City of",92.7535982,93.09389325,93.19103789,92.29419405,93.51969105
E06000011,East Riding of Yorkshire,108.1808783,109.9326944,111.0346152,110.5254163,109.6135763
E06000012,North East Lincolnshire,100.4941789,102.1794104,102.0084173,101.623527,103.310795
E06000013,North Lincolnshire,105.6275088,105.936043,106.5163611,105.706753,106.2445024
E06000014,York,98.77376561,98.25758566,97.87333727,99.26868178,99.50806793
E06000015,Derby,97.84001976,94.85287909,95.55719786,97.80189981,96.90756989
E06000016,Leicester,91.63655201,89.45139261,91.0176951,91.32380022,91.73164092
E06000017,Rutland,112.818335,111.9939559,112.6129925,114.6702881,115.1760018
E06000018,Nottingham,93.48827195,90.82495864,91.85574479,93.32771125,91.89797858
E06000019,"Herefordshire, County of",106.0588662,105.0589981,107.8919118,106.6718252,105.8058305
E06000020,Telford and Wrekin,104.9485877,103.8448406,105.3581717,105.3143037,103.2906373
E06000021,Stoke-on-Trent,97.92572025,96.79738943,99.29205061,98.86658386,98.47081277
E06000022,Bath and North East Somerset,101.1604092,99.47561046,100.4019262,101.3239573,103.5277684
E06000023,"Bristol, City of",92.20359674,90.78480848,92.92797461,92.96012283,93.83654963
E06000024,North Somerset,102.245229,100.7760261,102.1628274,101.3249015,102.6808849
E06000025,South Gloucestershire,106.4392103,105.1559286,106.5374396,105.4996039,105.7745533
E06000026,Plymouth,94.42515973,96.37890494,97.05935891,98.22269895,98.51508735
E06000027,Torbay,97.66250631,98.77263392,99.84264505,101.8810512,101.681119
E06000030,Swindon,97.39649814,95.34323731,95.96612762,96.18952952,99.10034543
E06000031,Peterborough,98.72870254,97.39405554,98.03659892,98.49791064,97.37127694
E06000032,Luton,90.98756338,88.44969805,87.20720871,89.02185221,89.25997574
E06000033,Southend-on-Sea,87.82840536,88.42323338,88.33297536,92.30390614,91.12167064
E06000034,Thurrock,95.11922159,94.51536336,94.05342188,94.05575862,95.20228521
E06000035,Medway,96.40946798,93.72326553,92.9610337,94.18354082,95.61284341
E06000036,Bracknell Forest,101.9447048,97.78635804,99.79146867,98.21803769,98.7855857
E06000037,West Berkshire,104.2430739,102.4282106,103.0282077,103.1825998,106.5150205
E06000038,Reading,95.5477469,91.66315189,91.79734357,91.5726031,92.98216737
E06000039,Slough,92.83050608,89.597659,89.62254831,89.70094884,90.48158528
E06000040,Windsor and Maidenhead,98.79288617,96.89350918,96.12840375,95.67294734,96.7248572
