AREACD,AREANM,time1,time2,time3,time4,time5
E06000001,Hartlepool,85.72527118,84.20003506,79.71741724,76.56754813,79.68085819
E06000002,Middlesbrough,80.4903182,80.00565039,76.05201682,73.76547502,75.86770473
E06000003,Redcar and Cleveland,91.06021575,89.76181805,88.62025466,89.43132022,87.60690402
E06000004,Stockton-on-Tees,92.27029547,90.54500767,87.33359549,83.70253007,88.39513679
E06000005,Darlington,91.14283059,87.77578066,84.87866045,87.59607738,86.47002087
E06000006,Halton,97.97678385,94.77558262,90.52751312,90.95651572,92.76899021
E06000007,Warrington,99.43212385,97.67337425,93.7380221,93.10684623,92.382675
E06000008,Blackburn with Darwen,95.61629035,94.30597186,92.20291246,89.39410897,89.97753108
E06000009,Blackpool,83.45785347,81.81388691,78.13654929,75.42771319,78.36445683
E06000010,"Kingston upon Hull, City of",81.18321239,78.81428018,76.07552158,73.06983837,75.99713141
E06000011,East Riding of Yorkshire,109.5142933,106.7423749,102.0831226,99.99159609,101.4964604
E06000012,North East Lincolnshire,83.25921862,84.16283035,81.281804,79.20910981,81.31701157
E06000013,North Lincolnshire,99.97038135,96.04242959,91.7838653,88.24780819,89.26026116
E06000014,York,94.07587702,95.78984616,94.16950013,93.34533242,93.56108507
E06000015,Derby,89.50667189,88.49426458,89.74706949,89.87866248,87.36635065
E06000016,Leicester,89.0541228,87.58825749,85.30397753,84.36275476,88.91929232
E06000017,Rutland,125.0010144,125.9836757,123.5757822,121.5521412,120.2198333
E06000018,Nottingham,85.81765507,84.4710525,81.95468883,79.66220858,82.08668808
E06000019,"Herefordshire, County of",105.6873606,106.5810913,105.6391026,104.7814301,104.7772612
E06000020,Telford and Wrekin,94.28955774,91.72289057,91.709556,92.69613132,91.42531826
E06000021,Stoke-on-Trent,88.62769877,86.01326369,84.26066645,83.00219413,85.09818893
E06000022,Bath and North East Somerset,100.7974224,99.96583111,99.76503897,101.0697908,99.87213653
E06000023,"Bristol, City of",83.93415389,82.71785772,83.19441298,85.19683465,86.71126967
E06000024,North Somerset,99.77767456,95.55845266,100.387861,98.9021125,97.90318626
E06000025,South Gloucestershire,102.3997061,100.3470608,99.83461764,100.6784574,101.372098
E06000026,Plymouth,98.83186516,97.53129819,94.26000213,94.6174892,95.93757239
E06000027,Torbay,100.2829849,101.4321587,95.16761043,95.55584021,98.60472443
E06000030,Swindon,89.92930771,88.46182654,89.00709124,90.28774414,91.33719796
E06000031,Peterborough,88.25954397,84.38700435,81.82311198,83.77252727,87.28674308
E06000032,Luton,95.15636184,92.74116006,92.49133798,91.8931964,92.36681233
E06000033,Southend-on-Sea,93.21481719,91.68814779,93.734858,88.78974262,91.25671176
E06000034,Thurrock,92.84023422,92.46262918,90.29308014,87.68733686,88.35854351
E06000035,Medway,95.02796214,93.32809257,87.87625044,88.03693233,87.74249205
E06000036,Bracknell Forest,107.236978,104.5678609,106.7219319,101.3779506,100.346838
E06000037,West Berkshire,104.6075833,102.4109564,101.2422924,99.94503052,101.4590381
E06000038,Reading,86.42399866,84.1058117,83.12755326,85.40845819,85.63965465
E06000039,Slough,90.21346018,89.65000482,91.37895617,89.16417917,88.00004163
E06000040,Windsor and Maidenhead,101.6368716,100.8538428,100.2340371,98.58845038,100.1928414
E06000041,Wokingham,111.7474222,108.8530873,108.1306488,107.87878,109.1147827
E06000042,Milton Keynes,90.8268538,89.97644361,88.44055093,89.41274514,86.89245697
E06000043,Brighton and Hove,91.96948918,91.07872506,90.02634426,91.48885088,87.4897266
E06000044,Portsmouth,84.27219582,80.51484217,78.65008166,82.68208274,83.84596852
E06000045,Southampton,84.24882032,82.37915772,81.62910514,82.66299073,83.52039175
E06000046,Isle of Wight,104.7178885,101.6196468,99.77844509,100.1888088,102.5511573
E06000047,County Durham,103.7289618,98.55295274,93.706388,91.07732999,91.37359804
E06000049,Cheshire East,107.374048,103.5843807,97.96117923,96.46951582,96.52154403
E06000050,Cheshire West and Chester,102.8604397,98.91463373,96.0822587,95.79086347,96.62411544
E06000051,Shropshire,107.6103669,108.4386005,104.787341,102.4040835,105.1853412
E06000052,Cornwall,113.3343109,111.0675582,106.5481155,107.6488129,111.0711037
E06000054,Wiltshire,110.7013513,110.2590143,105.6932672,104.7678619,104.8011136
E06000055,Bedford,95.72882631,93.50885828,93.43893033,88.65452952,92.24546281
E06000056,Central Bedfordshire,106.110716,103.6383047,102.6461637,99.24386341,100.8303116
E06000057,Northumberland,107.8106281,102.671205,97.84441026,97.2003722,98.34225319
E06000058,"Bournemouth, Christchurch and Poole",95.92785614,95.45486738,94.03253766,94.03253766,94.03253766
E06000059,Dorset,107.8636354,105.8365595,104.067426,104.067426,104.067426
E06000060,Buckinghamshire,105.7649163,103.8406256,101.3127085,103.7070249,103.7070249
E06000061,North Northamptonshire,105.6753807,104.6735143,102.1804446,99.53952216,100.9695167
E06000062,West Northamptonshire,105.6753807,104.6735143,102.1804446,99.53952216,100.9695167
E07000008,Cambridge,81.92849659,78.50514683,74.64530526,76.4794476,74.25058431
E07000009,East Cambridgeshire,123.0849844,120.1756932,110.594447,117.4741866,112.8155011
E07000010,Fenland,99.96797033,96.84744772,95.89580299,98.72488098,101.0091862
E07000011,Huntingdonshire,108.2671145,105.8361379,103.024335,101.067222,103.9557405
E07000012,South Cambridgeshire,121.1201296,114.5030285,110.9032633,112.1933468,112.5930485
E07000026,Allerdale,103.2960286,101.1622796,101.1308104,97.92705161,102.9502416
E07000027,Barrow-in-Furness,98.85273835,97.30682068,99.22613099,96.47635868,95.85165666
E07000028,Carlisle,94.90150411,95.00717466,90.64908219,88.45137934,90.63226747
E07000029,Copeland,109.885057,107.9470881,105.769505,101.76188,109.122699
E07000030,Eden,117.8265889,117.8047748,117.3776389,109.8621747,108.4847267
E07000031,South Lakeland,113.3565917,113.625549,113.0254269,109.2752303,109.6404252
E07000032,Amber Valley,107.4139903,106.5636001,103.5337786,103.9009721,102.4827394
E07000033,Bolsover,108.2376517,111.7886655,108.3024269,102.8587128,104.4967209
E07000034,Chesterfield,98.66180703,99.79264507,100.6955913,98.25896391,93.02754752
